eolID,English,Arabic,Azerbaijani,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,Estonian,Finnish,French,German,Hebrew,Hungarian,Indonesian,Italian,Japanese,Lithuanian,Malay,Norwegian,Persian,Polish,Portuguese,Russian,Serbian,Slovak,Spanish,Swedish,Thai,Turkish,Ukrainian,Vietnamese
1009136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6793301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18553066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6793338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52788329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6792234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6791893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6791952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6791971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6791972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18547161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18547049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6792012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6792031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18547031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18547102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6792075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6792561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998631,Bd,,,,,,Chytridiomykóza Obojživelníků,,,,,,Chytridpilz,כיטרידיומיקוסיס,,,,,,,,قارچ دیگچه‌ای دوزیستان,,,,,,,,,,,
188686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196173,Dot Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10468365,Dot Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6412890,Dot Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6412907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195782,Dot Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196683,Dot Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18208828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009310,Dot Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196447,Dot Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6413210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6413388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6413470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10284837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46709269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10285992,Baton Rouge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46709286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43622535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46709235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6503211,Tylophoron Lichen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302235,Dust Lichen,,,,,,,,Gele Poederkorst,,Tammenrikkijäkälä,,,,,,,,,,,,Złociszek Jaskrawy,,,,,,Gulmjöl,,,,
995182,Dust Lichen,,,,,,,,,,Varjorikkijäkälä,,,,,,,,,,,,,,,,,,,,,,
196121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6413861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43622628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43622626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46709046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39978105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6414130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6415602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
