canonicalName,eolID,inaturalistID,gbifID,wikipediaID,arkiveID,adwID,fishbaseID,amphibiawebID
Blastocladiopsis parva,1009136,793800,2626904,,,,,
Physoderma dulichii,6793301,507991,3386969,,,,,
Physoderma maydis,190882,916244,2626833,Q10631033,,,,
Physoderma negeri,18553066,1399213,3386903,,,,,
Physoderma pluriannulatum,6793338,774455,2626836,,,,,
Physoderma pulposum,159788,905257,2626827,,,,,
Phlyctochytrium aureliae,190613,1150133,2627119,,,,,
Cladochytrium menyanthis,52788329,1040838,10753920,,,,,
Micromyces mirabilis,6792234,1518711,5468883,,,,,
Synchytrium anemones,188359,628553,5265720,,,,,
Synchytrium aureum,160225,384476,5265721,,,,,
Synchytrium australe,6791893,384477,5265729,,,,,
Synchytrium epilobii,6791952,384478,5265723,,,,,
Synchytrium geranii,6791971,490023,10790656,,,,,
Synchytrium globosum,6791972,408275,5265739,,,,,
Synchytrium hydrocotyles,18547161,1391919,5265735,,,,,
Synchytrium laetum,18547049,1075215,5469137,,,,,
Synchytrium limosellae,6792012,379901,5265732,,,,,
Synchytrium mercurialis,160700,601742,5265737,,,,,
Synchytrium minutum,6792031,1364644,5265731,,,,,
Synchytrium myosotidis,18547031,545150,7238776,,,,,
Synchytrium papillatum,18547102,384481,7238788,,,,,
Synchytrium psophocarpi,189267,1351832,5265736,,,,,
Synchytrium puerariae,6792075,1415341,5265740,,,,,
Synchytrium stellariae,1029914,1047777,5265733,,,,,
Synchytrium taraxaci,1029898,384482,5265722,,,,,
Rhizophydium echinocystoides,6792561,550445,3384501,,,,,
Rhizophydium globosum,162219,319134,2627482,,,,,
Rhizophydium keratinophilum,1008281,200126,2627461,,,,,
Batrachochytrium dendrobatidis,998631,320144,2627503,Q1543914,,,,
Harpochytrium hyalothecae,188686,1331367,2626910,,,,,
Arthonia anglica,1031089,462302,2592763,,,,,
Arthonia apatetica,196172,462305,2592744,,,,,
Arthonia arthonioides,196173,214225,2592682,,,,,
Arthonia cinnabarina,1009874,1530770,2592737,,,,,
Arthonia didyma,10468365,214241,2592656,Q10567603,,,,
Arthonia granosa,6412890,214259,3548916,,,,,
Arthonia helvola,6412907,462326,2592739,,,,,
Arthonia lapidicola,195782,214267,2592648,,,,,
Arthonia patellulata,196683,205499,2592756,,,,,
Arthonia pruinascens,18208828,462345,2592710,,,,,
Arthonia punctiformis,1009310,214293,2592726,,,,,
Arthonia radiata,196447,205492,2592659,,,,,
Arthonia sanguinea,6413210,462348,2592769,,,,,
Arthonia stellaris,1007824,214305,2592760,,,,,
Arthonia varians,1016452,462355,3548605,,,,,
Arthonia vinosa,196724,214321,2592729,Q10657198,,,,
Arthothelium ruanum,244871,214357,8426708,,,,,
Coniarthonia pyrrhula,6413388,462774,3548506,,,,,
Cryptothecia striata,6413470,205079,3549650,,,,,
Herpothallon aurantiacoflavum,10284837,1013435,7535965,,,,,
Herpothallon roseocinctum,46709269,857061,8242144,,,,,
Herpothallon rubrocinctum,10285992,464189,8013229,Q5191076,,,,
Herpothallon rubroechinatum,46709286,463099,7681232,,,,,
Inoderma byssaceum,43622535,532103,7846196,,,,,
Inoderma subabietinum,46709235,1535328,8241644,,,,,
Tylophoron hibernicum,244921,532445,6755450,,,,,
Tylophoron moderatum,6503211,233131,3392838,,,,,
Chrysothrix candelaris,302235,117938,5258337,Q5114965,,,,
Chrysothrix chlorina,995182,210537,5258341,,,,,
Chrysothrix flavovirens,196121,532722,8411046,Q17387454,,,,
Chrysothrix granulosa,6413861,203089,5258344,Q10452307,,,,
Chrysothrix xanthina,243660,345245,5258338,Q10452312,,,,
Alyxoria mougeotii,43622628,532055,7762890,,,,,
Alyxoria ochrocheila,43622626,462267,8405753,,,,,
Alyxoria varia,1007499,462268,7472637,,,,,
Alyxoria viridipruinosa,46709046,1232876,8280095,Q21239331,,,,
Austroroccella gayana,39978105,1121492,7789563,,,,,
Bactrospora myriadea,6414130,214766,3545941,,,,,
Cresponea chloroconia,196000,217756,2592882,,,,,
Cresponea flava,1007918,462786,3546672,,,,,
Cresponea proximata,1007917,217758,3546650,,,,,
Dendrographa alectoroides,6415602,218225,2592963,,,,,
Dendrographa leucophaea,6415606,117953,2592964,,,,,
Enterographa bella,1013447,401651,3546339,,,,,
Enterographa crassa,195537,401645,2592831,,,,,
Enterographa hutchinsiae,195538,462887,2592825,,,,,
Enterographa zonata,11506630,219208,8034713,,,,,
Lecanactis abietina,197098,222780,7847785,Q10502592,,,,
Lecanographa amylacea,198151,222807,2592791,Q15027334,,,,
Lecanographa hypothallina,6414091,222810,2592790,,,,,
Lecanographa lyncea,198153,463197,3546496,,,,,
Mazosia melanophthalma,1009895,403726,3548218,,,,,
Mazosia phyllosema,197323,355347,3548204,,,,,
Opegrapha anomea,6546238,463622,5258418,,,,,
Opegrapha demutata,197395,1419548,5258397,,,,,
Opegrapha fumosa,196526,463629,5258412,,,,,
Opegrapha niveoatra,1008085,226483,5258431,,,,,
Opegrapha rupestris,197404,226491,5516617,,,,,
Opegrapha vermicellifera,195477,542744,5258394,,,,,
Opegrapha vulgata,1007497,226497,5258398,,,,,
Paralecanographa grumulosa,21309325,222809,7593268,,lecanactis_hemisphaerica,,,
Phoebus hydrophobius,8594133,463746,3545922,,,,,
Roccella fuciformis,998383,230303,2592959,,,,,
Roccella montagnei,1007384,230304,3546027,,,,,
Roccella phycopsis,197776,230306,2592958,Q15027333,,,,
Schizopelte californica,6415702,175012,3546332,,,,,
Sigridea californica,195350,230913,2592796,,,,,
Syncesia farinacea,11506894,702362,2592819,,,,,
Syncesia rhizomorpha,6415152,1355795,2592815,,,,,
Abrothallus caerulescens,52240345,174658,2592373,,,,,
Abrothallus cetrariae,52783076,174657,7824496,,,,,
Abrothallus eriodermae,52240340,923861,8266958,Q25358809,,,,
Abrothallus halei,52423146,462223,8113956,Q10398082,,,,
Abrothallus microspermus,52783079,399277,2592379,,,,,
Abrothallus nephromatis,52240343,1368651,8341723,Q25358836,,,,
Abrothallus parmeliarum,52240332,212191,7513752,Q10398085,,,,
Abrothallus parmotrematis,52240333,939253,2592368,,,,,
Abrothallus peyritschii,52783080,212192,7867531,,,,,
Abrothallus prodiens,52783081,212193,2592369,,,,,
Abrothallus suecicus,52240334,462226,2592384,,,,,
Abrothallus teloschistis,52783083,1101863,9699140,,,,,
Abrothallus usneae,52240335,462228,2592364,,,,,
Abrothallus welwitschii,52240344,212194,8343517,Q10398091,,,,
Acrospermum adeanum,52240768,1045163,2612453,,,,,
Acrospermum compressum,52240769,381164,2612450,,,,,
Acrospermum graminum,52784339,987083,2612452,,,,,
Asterina aucubae,50950080,1438935,5501295,,,,,
Asterina veronicae,52783478,1540791,5263348,,,,,
Dothidasteromella systema-solare,49435256,474049,2620165,,,,,
Morenoina paludosa,48322903,416614,2620292,,,,,
Placosoma nothopanacis,48557992,383688,5263368,,,,,
Triposporium elegans,52783119,352622,2620307,,,,,
Triposporium verruculosum,48379426,384598,2620308,,,,,
Pachypatella alsophilae,6659748,384110,3544552,,,,,
Botryosphaeria corticola,6439051,1262595,2611544,Q4948831,,,,
Botryosphaeria dothidea,154790,143715,2611548,Q4948837,,,,
Diplodia corticola,6438231,702669,2611545,Q104096262,,,,
Diplodia tumefaciens,6438899,488922,2612322,,,,,
Dothiorella sarmentorum,8593862,417597,2611844,,,,,
Dothiorella vidmadera,42792052,794720,7900307,,,,,
Lasiodiplodia theobromae,156591,976291,2611222,Q4948839,,,,
Lasiodiplodia viticola,21309957,1499701,8248775,,,,,
Neofusicoccum arbuti,8593551,701905,2611899,Q10597179,,,,
Neofusicoccum australe,8593550,417610,2611907,Q10597181,,,,
Neofusicoccum luteum,8593547,1360678,2611909,,,,,
Neofusicoccum mangiferae,11939859,606974,2611784,Q6992872,,,,
Neoscytalidium dimidiatum,11939919,383328,2611786,,,,,
Phaeobotryon cupressi,11939954,1474229,5894764,Q10625727,,,,
Phaeobotryosphaeria visci,11479892,1096380,3308783,,,,,
Sphaeropsis sapinea,998765,360231,2591884,,,,,
Phyllosticta ampelicida,18164393,517494,2611418,Q604793,,,,
Phyllosticta arbuti,1031338,1466417,2612131,,,,,
Phyllosticta artocarpi,18162452,1188562,3516502,,,,,
Phyllosticta camelliae,1029347,1090274,2612049,,,,,
Phyllosticta concava,18164059,769091,3515251,,,,,
Phyllosticta convallariae,6429359,1031299,2568119,,,,,
Phyllosticta cruenta,6429409,628829,7255034,,,,,
Phyllosticta epimedii,6429602,1023968,3514587,,,,,
Phyllosticta lauri,1009403,1504420,2612154,,,,,
Phyllosticta magnoliae,189347,908170,2611971,,,,,
Phyllosticta minima,194658,319633,2611949,Q10630529,,,,
Phyllosticta parthenocissi,42796239,932346,7840521,,,,,
Phyllosticta paviae,18163484,1095980,2611366,,,,,
Phyllosticta phaea,18162129,1260865,3514965,,,,,
Phyllosticta plantaginis,6430569,929087,3514755,,,,,
Phyllosticta ruscicola,188058,1484284,2612050,,,,,
Phyllosticta subeffusa,6430954,628543,2612018,,,,,
Phyllosticta thujae,18162579,1226405,3514494,,,,,
Diplochorella colensoi,1009883,382192,2624405,,,,,
Microcyclus amphimelaenus,52782783,1515778,5263780,,,,,
Camarosporium dalmaticum,1002394,961238,2612393,,,,,
Camarosporium oreades,295083,1539256,2612367,,,,,
Camarosporium sophorae,6431771,417676,3513847,,,,,
Heteroconium glutinosum,18194203,868406,3501532,,,,,
Phaeocryptopus nudus,189766,1541618,2612586,,,,,
Cladosporium aecidiicola,1030290,1026057,2620475,,,,,
Cladosporium alneum,18194878,1408583,3501905,,,,,
Cladosporium austrohemisphaericum,52240833,733328,9239479,,,,,
Cladosporium cladosporioides,190938,350347,2620657,Q5124957,,,,
Cladosporium colocasiae,152392,381670,2620645,,,,,
Cladosporium cucumerinum,1029729,381671,2620564,Q5124960,,,,
Cladosporium herbarum,1017287,350348,2620585,Q3678954,,,,
Cladosporium iridis,191094,886094,2620552,,,,,
Cladosporium licheniphilum,18194885,989007,3501677,,,,,
Cladosporium macrocarpum,160662,350349,2620615,,,,,
Cladosporium perangustum,21312485,1230221,8403664,,,,,
Cladosporium phyllophilum,6616172,416487,2620570,,,,,
Cladosporium ramotenellum,11941379,1230223,3501767,,,,,
Cladosporium uredinicola,160017,381675,2620664,,,,,
Graphiopsis chlorocephala,6416378,889629,2620685,,,,,
Capnobotrys paucisporus,52783060,1096587,2620089,,,,,
Capnocybe spongiosa,192926,343192,2620039,,,,,
Metacapnodium dingleyae,302160,379852,2620068,,,,,
Metacapnodium fraserae,192827,383113,2620056,,,,,
Ophiocapnocoma batistae,6417723,383365,2620086,,,,,
Teratosphaeria considenianae,50000104,519394,5894586,,,,,
Teratosphaeria eucalypti,48558003,1123745,5894595,,,,,
Teratosphaeria maculiformis,49251058,1096336,3512829,,,,,
Teratosphaeria proteae-arboreae,49251057,704141,2625005,,,,,
Baudoinia compniacensis,8590884,475238,2624959,Q1169325,,,,
Dothidea insculpta,1029411,1502896,2612718,,,,,
Dothidea sambuci,1029579,1502895,2612708,,,,,
Scirrhia rimosa,160738,1016057,2624896,,,,,
Dothiora oleae,52241419,1357702,9678198,,,,,
Dothiora ribesia,192227,990905,5261905,,,,,
Dothiora sphaeroides,6441852,1543059,5509709,,,,,
Hormonema macrosporum,295508,1498507,2613081,,,,,
Kabatia periclymeni,1005003,993437,2613038,Q10542325,,,,
Aureobasidium apocryptum,6441780,1258793,2613001,,,,,
Aureobasidium microstictum,192495,918481,2612999,,,,,
Aureobasidium namibiae,42516093,1398132,7458437,Q18378181,,,,
Aureobasidium pullulans,3032312,350153,3524384,Q147300,,,,
Aureobasidium subglaciale,37660556,1095650,7502784,Q18355416,,,,
Kabatiella lini,190248,993434,2612981,Q6343943,,,,
Pseudoseptoria donacis,997418,408193,2589991,Q7255554,,,,
Pseudosydowia eucalypti,44452031,877344,8135987,,,,,
Acrogenospora gigantospora,1008971,381160,2613623,,,,,
Gloniopsis subrugosa,18206025,884926,5894287,,,,,
Hysterium angustatum,1005218,351204,10954924,,,,,
Hysterium hyalinum,160078,1020758,5261973,,,,,
Hysterium pulicare,1029821,409485,5261981,,,,,
Hysterobrevium mori,18206803,327984,5894284,,,,,
